YEAR,Team,Gms,TotÂ Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G
2024,Baltimore Ravens,5,147,29.4,1056,211.2,1182,236.4,2238,447.6
2024,San Francisco 49ers,5,126,25.2,720,144,1317,263.4,2037,407.4
2024,Detroit Lions,4,104,26,605,151.2,983,245.8,1588,397
2024,Green Bay Packers,5,128,25.6,824,164.8,1139,227.8,1963,392.6
2024,Washington Commanders,5,155,31,892,178.4,1071,214.2,1963,392.6
2024,Houston Texans,5,102,20.4,521,104.2,1362,272.4,1883,376.6
2024,Seattle Seahawks,5,122,24.4,527,105.4,1354,270.8,1881,376.2
2024,Philadelphia Eagles,4,86,21.5,615,153.8,847,211.8,1462,365.5
2024,Cincinnati Bengals,5,140,28,480,96,1315,263,1795,359
2024,Atlanta Falcons,5,111,22.2,484,96.8,1303,260.6,1787,357.4
2024,Kansas City Chiefs,5,118,23.6,589,117.8,1184,236.8,1773,354.6
2024,Dallas Cowboys,5,117,23.4,410,82,1358,271.6,1768,353.6
2024,Indianapolis Colts,5,119,23.8,626,125.2,1126,225.2,1752,350.4
2024,Arizona Cardinals,5,120,24,782,156.4,908,181.6,1690,338
2024,Jacksonville Jaguars,5,97,19.4,631,126.2,1008,201.6,1639,327.8
2024,Los Angeles Rams,5,94,18.8,487,97.4,1133,226.6,1620,324
2024,Minnesota Vikings,5,139,27.8,577,115.4,1039,207.8,1616,323.2
2024,New Orleans Saints,5,140,28,636,127.2,980,196,1616,323.2
2024,Tampa Bay Buccaneers,5,127,25.4,544,108.8,1065,213,1609,321.8
2024,New York Giants,5,89,17.8,516,103.2,1091,218.2,1607,321.4
2024,Miami Dolphins,5,60,12,584,116.8,928,185.6,1512,302.4
2024,Buffalo Bills,5,142,28.4,591,118.2,908,181.6,1499,299.8
2024,Pittsburgh Steelers,5,92,18.4,606,121.2,891,178.2,1497,299.4
2024,Las Vegas Raiders,5,96,19.2,420,84,1065,213,1485,297
2024,Carolina Panthers,5,83,16.6,554,110.8,902,180.4,1456,291.2
2024,Chicago Bears,5,113,22.6,477,95.4,959,191.8,1436,287.2
2024,New York Jets,5,93,18.6,402,80.4,1031,206.2,1433,286.6
2024,Denver Broncos,5,96,19.2,534,106.8,819,163.8,1353,270.6
2024,Los Angeles Chargers,4,68,17,511,127.8,544,136,1055,263.8
2024,Tennessee Titans,4,79,19.8,445,111.2,580,145,1025,256.2
2024,New England Patriots,5,62,12.4,657,131.4,597,119.4,1254,250.8
2024,Cleveland Browns,5,79,15.8,483,96.6,714,142.8,1197,239.4
2023,Miami Dolphins,17,496,29.2,2308,135.8,4514,265.5,6822,401.3
2023,San Francisco 49ers,17,491,28.9,2389,140.5,4384,257.9,6773,398.4
2023,Detroit Lions,17,461,27.1,2311,135.9,4401,258.9,6712,394.8
2023,Buffalo Bills,17,451,26.5,2212,130.1,4154,244.4,6366,374.5
2023,Dallas Cowboys,17,509,29.9,1920,112.9,4397,258.6,6317,371.6
2023,Baltimore Ravens,17,483,28.4,2661,156.5,3635,213.8,6296,370.4
2023,Los Angeles Rams,17,404,23.8,2045,120.3,4063,239,6108,359.3
2023,Philadelphia Eagles,17,433,25.5,2190,128.8,3834,225.5,6024,354.4
2023,Kansas City Chiefs,17,371,21.8,1784,104.9,4188,246.4,5972,351.3
2023,Minnesota Vikings,17,344,20.2,1553,91.4,4359,256.4,5912,347.8
2023,Green Bay Packers,17,383,22.5,1905,112.1,3968,233.4,5873,345.5
2023,Houston Texans,17,377,22.2,1647,96.9,4173,245.5,5820,342.4
2023,Jacksonville Jaguars,17,377,22.2,1646,96.8,4126,242.7,5772,339.5
2023,New Orleans Saints,17,402,23.6,1742,102.5,3990,234.7,5732,337.2
2023,Indianapolis Colts,17,396,23.3,2059,121.1,3666,215.6,5725,336.8
2023,Cleveland Browns,17,396,23.3,2017,118.6,3693,217.2,5710,335.9
2023,Atlanta Falcons,17,321,18.9,2159,127,3524,207.3,5683,334.3
2023,Los Angeles Chargers,17,346,20.4,1642,96.6,3957,232.8,5599,329.4
2023,Arizona Cardinals,17,330,19.4,2365,139.1,3144,184.9,5509,324.1
2023,Chicago Bears,17,360,21.2,2399,141.1,3096,182.1,5495,323.2
2023,Seattle Seahawks,17,364,21.4,1580,92.9,3910,230,5490,322.9
2023,Cincinnati Bengals,17,366,21.5,1527,89.8,3895,229.1,5422,318.9
2023,Tampa Bay Buccaneers,17,348,20.5,1509,88.8,3812,224.2,5321,313
2023,Washington Commanders,17,329,19.4,1592,93.6,3725,219.1,5317,312.8
2023,Pittsburgh Steelers,17,304,17.9,2010,118.2,3163,186.1,5173,304.3
2023,Denver Broncos,17,357,21,1810,106.5,3262,191.9,5072,298.4
2023,Las Vegas Raiders,17,332,19.5,1542,90.7,3380,198.8,4922,289.5
2023,Tennessee Titans,17,305,17.9,1846,108.6,3067,180.4,4913,289
2023,New York Giants,17,266,15.6,1874,110.2,2886,169.8,4760,280
2023,New England Patriots,17,236,13.9,1627,95.7,3069,180.5,4696,276.2
2023,New York Jets,17,268,15.8,1647,96.9,2919,171.7,4566,268.6
2023,Carolina Panthers,17,236,13.9,1769,104.1,2741,161.2,4510,265.3
2022,Miami Dolphins,17,496,29.2,2308,135.8,4514,265.5,6822,401.3
2022,San Francisco 49ers,17,491,28.9,2389,140.5,4384,257.9,6773,398.4
2022,Detroit Lions,17,461,27.1,2311,135.9,4401,258.9,6712,394.8
2022,Buffalo Bills,17,451,26.5,2212,130.1,4154,244.4,6366,374.5
2022,Dallas Cowboys,17,509,29.9,1920,112.9,4397,258.6,6317,371.6
2022,Baltimore Ravens,17,483,28.4,2661,156.5,3635,213.8,6296,370.4
2022,Los Angeles Rams,17,404,23.8,2045,120.3,4063,239,6108,359.3
2022,Philadelphia Eagles,17,433,25.5,2190,128.8,3834,225.5,6024,354.4
2022,Kansas City Chiefs,17,371,21.8,1784,104.9,4188,246.4,5972,351.3
2022,Minnesota Vikings,17,344,20.2,1553,91.4,4359,256.4,5912,347.8
2022,Green Bay Packers,17,383,22.5,1905,112.1,3968,233.4,5873,345.5
2022,Houston Texans,17,377,22.2,1647,96.9,4173,245.5,5820,342.4
2022,Jacksonville Jaguars,17,377,22.2,1646,96.8,4126,242.7,5772,339.5
2022,New Orleans Saints,17,402,23.6,1742,102.5,3990,234.7,5732,337.2
2022,Indianapolis Colts,17,396,23.3,2059,121.1,3666,215.6,5725,336.8
2022,Cleveland Browns,17,396,23.3,2017,118.6,3693,217.2,5710,335.9
2022,Atlanta Falcons,17,321,18.9,2159,127,3524,207.3,5683,334.3
2022,Los Angeles Chargers,17,346,20.4,1642,96.6,3957,232.8,5599,329.4
2022,Arizona Cardinals,17,330,19.4,2365,139.1,3144,184.9,5509,324.1
2022,Chicago Bears,17,360,21.2,2399,141.1,3096,182.1,5495,323.2
2022,Seattle Seahawks,17,364,21.4,1580,92.9,3910,230,5490,322.9
2022,Cincinnati Bengals,17,366,21.5,1527,89.8,3895,229.1,5422,318.9
2022,Tampa Bay Buccaneers,17,348,20.5,1509,88.8,3812,224.2,5321,313
2022,Washington Commanders,17,329,19.4,1592,93.6,3725,219.1,5317,312.8
2022,Pittsburgh Steelers,17,304,17.9,2010,118.2,3163,186.1,5173,304.3
2022,Denver Broncos,17,357,21,1810,106.5,3262,191.9,5072,298.4
2022,Las Vegas Raiders,17,332,19.5,1542,90.7,3380,198.8,4922,289.5
2022,Tennessee Titans,17,305,17.9,1846,108.6,3067,180.4,4913,289
2022,New York Giants,17,266,15.6,1874,110.2,2886,169.8,4760,280
2022,New England Patriots,17,236,13.9,1627,95.7,3069,180.5,4696,276.2
2022,New York Jets,17,268,15.8,1647,96.9,2919,171.7,4566,268.6
2022,Carolina Panthers,17,236,13.9,1769,104.1,2741,161.2,4510,265.3
2021,Miami Dolphins,17,496,29.2,2308,135.8,4514,265.5,6822,401.3
2021,San Francisco 49ers,17,491,28.9,2389,140.5,4384,257.9,6773,398.4
2021,Detroit Lions,17,461,27.1,2311,135.9,4401,258.9,6712,394.8
2021,Buffalo Bills,17,451,26.5,2212,130.1,4154,244.4,6366,374.5
2021,Dallas Cowboys,17,509,29.9,1920,112.9,4397,258.6,6317,371.6
2021,Baltimore Ravens,17,483,28.4,2661,156.5,3635,213.8,6296,370.4
2021,Los Angeles Rams,17,404,23.8,2045,120.3,4063,239,6108,359.3
2021,Philadelphia Eagles,17,433,25.5,2190,128.8,3834,225.5,6024,354.4
2021,Kansas City Chiefs,17,371,21.8,1784,104.9,4188,246.4,5972,351.3
2021,Minnesota Vikings,17,344,20.2,1553,91.4,4359,256.4,5912,347.8
2021,Green Bay Packers,17,383,22.5,1905,112.1,3968,233.4,5873,345.5
2021,Houston Texans,17,377,22.2,1647,96.9,4173,245.5,5820,342.4
2021,Jacksonville Jaguars,17,377,22.2,1646,96.8,4126,242.7,5772,339.5
2021,New Orleans Saints,17,402,23.6,1742,102.5,3990,234.7,5732,337.2
2021,Indianapolis Colts,17,396,23.3,2059,121.1,3666,215.6,5725,336.8
2021,Cleveland Browns,17,396,23.3,2017,118.6,3693,217.2,5710,335.9
2021,Atlanta Falcons,17,321,18.9,2159,127,3524,207.3,5683,334.3
2021,Los Angeles Chargers,17,346,20.4,1642,96.6,3957,232.8,5599,329.4
2021,Arizona Cardinals,17,330,19.4,2365,139.1,3144,184.9,5509,324.1
2021,Chicago Bears,17,360,21.2,2399,141.1,3096,182.1,5495,323.2
2021,Seattle Seahawks,17,364,21.4,1580,92.9,3910,230,5490,322.9
2021,Cincinnati Bengals,17,366,21.5,1527,89.8,3895,229.1,5422,318.9
2021,Tampa Bay Buccaneers,17,348,20.5,1509,88.8,3812,224.2,5321,313
2021,Washington Commanders,17,329,19.4,1592,93.6,3725,219.1,5317,312.8
2021,Pittsburgh Steelers,17,304,17.9,2010,118.2,3163,186.1,5173,304.3
2021,Denver Broncos,17,357,21,1810,106.5,3262,191.9,5072,298.4
2021,Las Vegas Raiders,17,332,19.5,1542,90.7,3380,198.8,4922,289.5
2021,Tennessee Titans,17,305,17.9,1846,108.6,3067,180.4,4913,289
2021,New York Giants,17,266,15.6,1874,110.2,2886,169.8,4760,280
2021,New England Patriots,17,236,13.9,1627,95.7,3069,180.5,4696,276.2
2021,New York Jets,17,268,15.8,1647,96.9,2919,171.7,4566,268.6
2021,Carolina Panthers,17,236,13.9,1769,104.1,2741,161.2,4510,265.3
